Timecode List:,00:00:01.293,00:00:35.536,00:02:35.197,00:03:07.938,00:03:12.901,00:03:24.246,00:03:33.589,00:03:37.551,00:03:42.014,00:03:43.056,00:03:44.224,00:03:52.816,00:03:53.525,00:03:54.193,00:03:57.237,00:08:49.738,00:09:30.362,00:22:56.543,00:23:03.884,00:27:24.853,00:27:26.688,00:27:27.606,00:27:32.444,00:28:05.477,00:28:06.144,00:28:07.896,00:28:08.522,00:28:09.565,00:28:13.068,00:28:13.652,00:31:25.886,00:31:36.355,00:34:26.859,00:34:35.617,00:34:39.705,00:34:45.043,00:34:54.845,00:34:57.139,00:34:58.140,00:35:02.060,00:35:09.067,00:35:09.693,00:35:10.652,00:35:14.615,00:35:18.577,00:35:22.706,00:35:25.542,00:35:31.298,00:35:35.969,00:35:38.805,00:35:39.848,00:35:50.817,00:52:30.442,00:52:56.093,00:55:46.263,00:57:09.972,00:57:16.770,00:57:20.941,00:58:02.608,00:58:09.907,00:58:10.657,00:58:16.121,00:58:28.217,00:58:28.884,00:58:29.635,00:58:44.399,00:58:50.113,00:58:54.785,00:59:15.222,00:59:17.558,00:59:19.935,00:59:25.899,01:13:14.770,01:13:15.604,01:13:16.438,01:13:17.064,01:13:17.773,01:13:35.958,01:13:42.422,01:13:44.633,01:13:46.760,01:13:51.473,01:13:54.184,01:13:55.477,01:13:56.895,01:13:58.272,01:13:59.565,01:14:00.607,01:14:01.942,01:14:03.068,01:19:31.522,01:19:33.315,01:19:56.672,01:20:06.098,01:20:12.354,01:20:22.823,01:20:26.201,01:20:28.579,01:20:41.550,01:20:57.357,01:21:00.194,01:21:02.946,01:21:06.283,01:21:11.830,01:21:15.167,01:21:16.793,01:21:17.461,01:21:19.046,01:21:19.713,01:21:20.631,01:21:23.467,01:21:24.301,01:21:26.011,01:21:28.180,01:21:29.181,01:21:29.765,01:21:31.725,01:21:33.310,01:21:34.728,01:21:35.771,01:21:38.857,01:22:32.578,01:24:34.533,01:24:37.035,01:26:14.883,01:26:28.647,01:29:48.388,01:41:55.032,01:42:46.834,01:44:05.037,01:44:12.336,01:44:14.505,01:44:47.329,01:44:47.996,01:44:48.664,01:44:49.331,01:44:49.998,01:45:17.359,01:46:03.614,01:46:53.497,01:47:38.417,01:47:39.084,01:47:40.252,01:47:41.336,01:47:42.546,01:47:43.589,01:47:47.092,01:47:48.635,01:47:49.595,01:47:50.554,01:48:00.314,01:48:02.024,01:48:09.907,01:48:13.035,01:48:14.536,01:48:21.418,01:48:24.213,01:48:41.230,01:48:50.697,01:48:58.747,01:49:00.165,01:49:01.917,01:49:15.013,01:49:16.807,01:49:17.266,01:49:18.058,01:49:19.017,01:49:20.978,01:49:21.770,01:49:23.480,01:49:25.399,01:49:26.358,01:49:29.945,01:49:31.071,01:49:33.490,01:49:34.366,01:49:37.286,01:49:37.911,01:49:38.871,01:49:46.003,01:49:47.671,01:49:51.800,01:49:52.509,01:49:53.093,01:49:58.015,01:50:04.021,01:50:16.575,01:50:22.289,01:50:50.526,01:50:53.529,01:51:00.452,01:51:03.705,01:51:05.207,01:51:07.626,01:51:08.544,01:51:10.546,01:51:15.801,01:51:22.307,01:51:22.891,01:51:38.866,01:51:53.130,01:52:12.399,01:52:13.400,01:52:14.651,01:52:18.071,01:52:20.908,01:52:26.413,01:52:28.290,01:52:32.628,01:52:41.678,01:52:42.387,01:52:44.890,01:52:57.778,01:56:36.955,01:56:54.765,01:56:55.724,01:56:56.391,01:57:33.053,01:57:45.607,01:57:59.913,01:58:01.039,01:58:02.457,01:58:03.292,01:58:06.670,02:00:05.873,02:00:11.503,02:00:44.661,02:00:49.625,02:00:50.584,02:02:20.924,02:03:07.554,02:04:03.151,02:08:56.653,02:09:22.095,02:09:51.083,02:09:51.750,02:09:52.501,02:09:53.168,02:09:54.169,02:09:55.337,02:09:56.088,02:09:56.797,02:09:57.965,02:10:11.353,02:10:12.020,02:10:12.771,02:10:18.610,02:10:24.157,02:10:25.158,02:10:25.993,02:10:26.618,02:10:27.369,02:10:27.995,02:10:28.620,02:10:29.371,02:10:30.205,02:10:35.460,02:10:40.966,02:10:41.425,02:10:42.676,02:10:43.343,02:10:44.011,02:10:46.555,02:10:48.891,02:10:50.559,02:10:59.318,02:11:00.235,02:11:01.236,02:11:01.904,02:11:02.696,02:11:15.751,02:11:32.351,02:11:36.563,02:11:37.231,02:11:37.940,02:11:38.690,02:11:39.441,02:11:40.317,02:11:40.943,02:11:41.610,02:11:42.236,02:11:45.781,02:11:46.406,02:11:47.074,02:11:47.699,02:11:48.659,02:11:50.244,02:11:51.411,02:11:57.501,02:12:02.714,02:12:03.340,02:12:04.341,02:12:05.551,02:12:06.176,02:12:06.844,02:12:07.553,02:12:08.762,02:12:11.598,02:12:14.101,02:12:16.979,02:12:19.565,02:12:20.232,02:12:21.108,02:12:22.150,02:12:22.860,02:12:23.527,02:12:32.494,02:12:33.161,02:12:35.455,02:12:38.208,02:12:39.334,02:12:53.599,02:12:55.309,02:12:57.728,02:13:05.986,02:13:12.868,02:13:23.086,02:13:30.469,02:13:52.699,02:13:53.325,02:13:53.992,02:13:59.790,02:14:06.964,02:14:08.340,02:14:15.556,02:14:21.854,02:14:31.947,02:14:36.285
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,31,00:00:01.293,1.293,31,00:00:01.293,1.293
2,31,00:00:01.293,1.293,852,00:00:35.536,35.536,821,00:00:34.243,34.243
3,852,00:00:35.536,35.536,3721,00:02:35.197,155.197,2869,00:01:59.661,119.661
4,3721,00:02:35.197,155.197,4506,00:03:07.938,187.938,785,00:00:32.741,32.741
5,4506,00:03:07.938,187.938,4625,00:03:12.901,192.901,119,00:00:04.963,4.963
6,4625,00:03:12.901,192.901,4897,00:03:24.246,204.246,272,00:00:11.345,11.345
7,4897,00:03:24.246,204.246,5121,00:03:33.589,213.589,224,00:00:09.343,9.343
8,5121,00:03:33.589,213.589,5216,00:03:37.551,217.551,95,00:00:03.962,3.962
9,5216,00:03:37.551,217.551,5323,00:03:42.014,222.014,107,00:00:04.463,4.463
10,5323,00:03:42.014,222.014,5348,00:03:43.056,223.056,25,00:00:01.043,1.043
11,5348,00:03:43.056,223.056,5376,00:03:44.224,224.224,28,00:00:01.168,1.168
12,5376,00:03:44.224,224.224,5582,00:03:52.816,232.816,206,00:00:08.592,8.592
13,5582,00:03:52.816,232.816,5599,00:03:53.525,233.525,17,00:00:00.709,0.709
14,5599,00:03:53.525,233.525,5615,00:03:54.193,234.193,16,00:00:00.667,0.667
15,5615,00:03:54.193,234.193,5688,00:03:57.237,237.237,73,00:00:03.045,3.045
16,5688,00:03:57.237,237.237,12701,00:08:49.738,529.738,7013,00:04:52.501,292.501
17,12701,00:08:49.738,529.738,13675,00:09:30.362,570.362,974,00:00:40.624,40.624
18,13675,00:09:30.362,570.362,33004,00:22:56.543,1376.543,19329,00:13:26.181,806.181
19,33004,00:22:56.543,1376.543,33180,00:23:03.884,1383.884,176,00:00:07.341,7.341
20,33180,00:23:03.884,1383.884,39437,00:27:24.853,1644.853,6257,00:04:20.969,260.969
21,39437,00:27:24.853,1644.853,39481,00:27:26.688,1646.688,44,00:00:01.835,1.835
22,39481,00:27:26.688,1646.688,39503,00:27:27.606,1647.606,22,00:00:00.918,0.918
23,39503,00:27:27.606,1647.606,39619,00:27:32.444,1652.444,116,00:00:04.838,4.838
24,39619,00:27:32.444,1652.444,40411,00:28:05.477,1685.477,792,00:00:33.033,33.033
25,40411,00:28:05.477,1685.477,40427,00:28:06.144,1686.144,16,00:00:00.667,0.667
26,40427,00:28:06.144,1686.144,40469,00:28:07.896,1687.896,42,00:00:01.752,1.752
27,40469,00:28:07.896,1687.896,40484,00:28:08.522,1688.522,15,00:00:00.626,0.626
28,40484,00:28:08.522,1688.522,40509,00:28:09.565,1689.565,25,00:00:01.043,1.043
29,40509,00:28:09.565,1689.565,40593,00:28:13.068,1693.068,84,00:00:03.504,3.504
30,40593,00:28:13.068,1693.068,40607,00:28:13.652,1693.652,14,00:00:00.584,0.584
31,40607,00:28:13.652,1693.652,45216,00:31:25.886,1885.886,4609,00:03:12.234,192.234
32,45216,00:31:25.886,1885.886,45467,00:31:36.355,1896.355,251,00:00:10.469,10.469
33,45467,00:31:36.355,1896.355,49555,00:34:26.859,2066.859,4088,00:02:50.504,170.504
34,49555,00:34:26.859,2066.859,49765,00:34:35.617,2075.617,210,00:00:08.759,8.759
35,49765,00:34:35.617,2075.617,49863,00:34:39.705,2079.705,98,00:00:04.087,4.087
36,49863,00:34:39.705,2079.705,49991,00:34:45.043,2085.043,128,00:00:05.339,5.339
37,49991,00:34:45.043,2085.043,50226,00:34:54.845,2094.845,235,00:00:09.801,9.801
38,50226,00:34:54.845,2094.845,50281,00:34:57.139,2097.139,55,00:00:02.294,2.294
39,50281,00:34:57.139,2097.139,50305,00:34:58.140,2098.140,24,00:00:01.001,1.001
40,50305,00:34:58.140,2098.140,50399,00:35:02.060,2102.060,94,00:00:03.921,3.921
41,50399,00:35:02.060,2102.060,50567,00:35:09.067,2109.067,168,00:00:07.007,7.007
42,50567,00:35:09.067,2109.067,50582,00:35:09.693,2109.693,15,00:00:00.626,0.626
43,50582,00:35:09.693,2109.693,50605,00:35:10.652,2110.652,23,00:00:00.959,0.959
44,50605,00:35:10.652,2110.652,50700,00:35:14.615,2114.615,95,00:00:03.962,3.962
45,50700,00:35:14.615,2114.615,50795,00:35:18.577,2118.577,95,00:00:03.962,3.962
46,50795,00:35:18.577,2118.577,50894,00:35:22.706,2122.706,99,00:00:04.129,4.129
47,50894,00:35:22.706,2122.706,50962,00:35:25.542,2125.542,68,00:00:02.836,2.836
48,50962,00:35:25.542,2125.542,51100,00:35:31.298,2131.298,138,00:00:05.756,5.756
49,51100,00:35:31.298,2131.298,51212,00:35:35.969,2135.969,112,00:00:04.671,4.671
50,51212,00:35:35.969,2135.969,51280,00:35:38.805,2138.805,68,00:00:02.836,2.836
51,51280,00:35:38.805,2138.805,51305,00:35:39.848,2139.848,25,00:00:01.043,1.043
52,51305,00:35:39.848,2139.848,51568,00:35:50.817,2150.817,263,00:00:10.969,10.969
53,51568,00:35:50.817,2150.817,75535,00:52:30.442,3150.442,23967,00:16:39.625,999.625
54,75535,00:52:30.442,3150.442,76150,00:52:56.093,3176.093,615,00:00:25.651,25.651
55,76150,00:52:56.093,3176.093,80230,00:55:46.263,3346.263,4080,00:02:50.170,170.170
56,80230,00:55:46.263,3346.263,82237,00:57:09.972,3429.972,2007,00:01:23.709,83.709
