,sentence
0,"Hey, Melodie."
1," Hey.  Look, I know"
2,we've known each other for a really long time.
3,And we live across the street from each other and stuff.
4,And
5,"I know, like, in four days,"
6,"I'm sure, if"
7," You know, prom's, like, in four days  Oh, my God."
8,"You're not asking me to prom, are you"
9,"Fuck, no."
10,"No, I No, I just"
11, You're probably going with someone.  I'm sorry.
12,I don't know how to put this nicely.
13,There's not a nice way to put it.
14,You're a fucking nerd.
15,"And, you know I don't know. She's hot."
16,Look at her. Look at her.
17, Look at her. Look at her. Look at her.  I'll see you later.
18," Bye.  All right, buddy, good talk."
19,"Dude, classic."
20,Greg Jenko to the principal's office. Greg Jenko to the principal's office.
21," Shit.  Good luck, bro."
22,"I said loud and clear,"
23,"if you didn't get your grades up, you weren't going to the prom."
24,"You, my friend, are about to pay the piper."
25,I should pay who
26,You're not going to the prom.
27,"Boy, you lucky you even graduating."
28,But I'm going to be prom king.
29,I'm glad you had a great time in school.
30,'Cause you ain't learned nothing.
31,Fuck Fuck
32,Welcome to the Police Academy.
33,"Make sure your form is completely filled out, then move along."
34,"Notsoslim Shady, what's up Holy shit"
35,"Jenko, Schmidt, you're up."
36,"Oh, fuck"
37," You're good at this, huh  Yeah, I am."
38,Thank you.
39,Such bullshit.
40,You're really good at this.
41,"Yeah, I am."
42,"Hey, you want to be friends"
43,"Come on. Come on, let's go."
44,"Come on, pick your knees up. Pick your knees up."
45,"I'm telling you right now, it's not a felony."
46,"Chill, all right Look, if it has intent, it's a felony."
47,"What did I tell you Come on, let's go, let's go, let's go"
48,"Let's go, let's go, let's go, let's go, let's go."
49,Faster. Let's go.
50,Clear
51,Clear
52,"Come on, come on, come on Stop."
53,Yes Yes
54,Let me see. Let me see.
55,Nice.
56,"Tenhut Ladies and gentlemen,"
57,I present to you the graduates of Class 137.
58,Get ready for a lifetime of being badass motherfuckers.
59,I am.
60,"I really thought this job would have more car chases and explosions,"
61,and less homeless people doodooing everywhere.
62,Do you guys really think this is a police matter
63,To get your Frisbee back
64,Get your own fucking Frisbee.
65,Shit.
66,Shit Shit
67,"Yours isn't loaded, right"
68,"We're supposed to unload them first, right"
69,"What, you No."
70,That's no fun. Come on.
71,"Sign says, ""Do not feed the ducks."""
72,it's right there.
73, Don't you Don't  Don't. Stop it.
74,Don't. You did it. You fed the ducks.
75,You feel like a big shot
76,No fucking way.
77,One Percenters
78,"These guys are, like, bigtime drug dealers."
79,"If we could take them down as our first bust, we'd be off park duty for sure."
80,You see what I see
81,Cannabis sativa.
82,Chaka Khan.
83,Chaka Khan
84,Gentlemen. We having a little party
85,Have we forgotten that the use of marijuana is illegal
86,I have glaucoma.
87,I get nervous in crowds.
88,Herpes.
89,"Then you won't mind if I search your bike, now, would you"
90,Go ahead. You won't find shit.
91," Get up.  Cálmate, gringo."
92,"Man, you guys even real cops You look like the kids on Halloween."
93,"If those boys is cops, I'm DEA."
94,"I know, right I know."
95,It's hilarious.
96,So why don't you show us a little respect
97," Fuck you, pig.  Hey."
98,You want me to beat your dick off
99,You want to beat my dick off
100,I'll beat your dick off with both hands. What's up Let's go.
101," That's weird, man.  I think what he was trying to say was,"
102,he's going to punch you so many times around the genital area
103,that your dick's just going to fall off.
104,Why do you have salt in your
105," That's actual drugs.  Oh, my God."
106,Get on the ground Hey
107, Come here now  What do I do
108, Chase someone  Chase someone
109,Are you leaving your bike here
110,Okay. All right.
111,Don't run from me You're making it worse for yourself
112,No Get out of the way
113,Stop
114,"I'm going to shoot you if you don't slow down, man Come on"
115,Hey Come here
116,I'm not playing anymore I'm so not kidding
117,I got him. I got him.
118,Freeze Freeze
119,Hands up or I shoot you Freeze
120,That's it Come here
121,Freeze Stop it
122,You're a pussy
123,You got the right to Give me that You got the right to
124,"to suck my dick, motherfucker"
125,My elbow.
126," You got nothing.  How's my dick feel in your ass, huh"
127, Hey Hey  How's it feel How's it feel now
128,"That's right. Schmidt Schmidt, we got one"
129,We got one I got him
130,Yes Yes
