,sentence
0,"Are you sure I will not get into trouble, Bill"
1,Don't be a wuwuwuss
2,I'd come with you if I weren't (coughing) dying
3,You're not dying
4,you didn't see the vvvomit coming out of my nose this morning
5,That's disgusting
6,"Ok, go get the wax"
7,In the cellar
8,"You want to flflfloat, dont' you"
9,(whining) Fine
10,(feedback from walkietalkie) Hurry up
11,"ok, don't worry"
12,Where is the wax
13,There it is
14,Yes.
15,What was that What is that
16,Heavens.
17,alright
18,"shshshe's all ready, captain"
19,she
20,"you always call a bboat, she"
21,she
22,"Thanks, Billy."
23,See you later. Bye.
24,Be careful.
25,No
26,No
27,Bill's gonna kill me
28,Hiya Georgie
29,what a nice boat
30,do you want it back
31,Yes please.
32,You look like a nice boy. I bet you have a lot of friends.
33,"Three, but my brother is the bestest"
34,Where's he
35,"Home, sick"
36,I bet I could cheer him up. I'll give him a balloon.
37,do you want a balloon too Georgie
38,I'm not supposed to take stuff from strangers
39,"oh well, I'm Pennywise the dancing clown"
40,Pennywise yes meet Georgie
41,Georgie meet Pennywise
42,"Now we are not strangers, are we"
43,what are you doing in the sewer
44,A storm blew me away
45,Blew the whole circus away
46,"Can you smell the circus, Georgie"
47,"There are peanuts, cotton candy "
48,hot dogs 
49,annnnnnd
50,Popcorn
51,Popcorn Is that your favorite
52,Uh huh. Mine too
53,"Because they pop. Pop, pop, pop."
54,"Pop, pop, pop"
55,Pop
56,I should get going now.
57,Without your boat
58,You don't want to lose it Georgie
59,Bill's gonna kill you
60,Here
61,Take it.
62,"Take it, Georgie"
63,Help
64,Billy
65,"Pull it, Mike."
66,"Go on now, pull it"
67,"Here, reload it"
68,"You need to start takin' more responsibility around here, Mike"
69,Your dad was younger than you when 
70,"I'm not my dad, okay"
71,Yeah
72,"Look at me, son."
73,Look at me
74,There are two places you can be in this world.
75,You can be here like us or you can be there 
76,like them.
77,If you waste your time hemming and hawing
78,somebody else will make that choice for you
79,Except that you will not know until you feel that bolt between your eyes.
80,There is a church full of Jews.
81,And Stan has to take the super Jewy test
82,But how does it work
83,They slice the tip of his dick off
84,But then you'll have nothing left
85," It is true.  Wait, you guys"
86,"Hey, Stan, what happens at the bar mitzvah anyways"
87,Ed says you slice the tip of the ddddick off
88,"Yes, Rabbi's gonna pull down your pants"
89,"and he will tell the crowd: ""Where's the beef""."
90,"At he bar mitzvah, I read from the Torah "
91,"and then I make a speech, and suddenly I become a man"
92,There's more funner ways to become a man.
93,"""More fun ways"", you mean."
94,Fuck.
95,Do you think they'll sign my yearbook
96,"""Dear Richie "
97,"sorry for taking a hot, steaming dump in your backpack last month"
98,"""Have a good summer""."
99,"Are you in there by yourself, Beaverly"
100,"Or do you have half the guys in the school with you, huh slut"
101,"I know you're in there, you little shit, I can smell you."
102,No wonder you don't have any friends.
103,"Which is it, Greta Am I a slut or a little shit"
104,Make up your mind
105,You're trash.
106,We just wanted to remind you.
107,Such a loser.
108,At least now you'll smell better.
109,Gross.
110,Let's go girls.
111,"Have a nice summer, Beaverly"
112,Pathetic.
113,The best feeling ever
114,Yes
115,Try tickling your pickle for the first time
116,What do you guys wanna do tomorrow
117,I start my training.
118, What training  Street Fighter.
119,"Is that how you want to spend your summer, stuck in an arcade"
120,Better than inside your mother.
121,What if we go the the quarry
122,"Guys, we can ggo to the barrens"
123,Right
124,Betty Ripsom's mom
125,Does she really expect to see her coming out of the school
126,I don't know
127,As if Betty Ripsom's been hiding in HomeEc for the last few weeks
128,Do you think they'll actually find her
129,Sure
130,"In a ditch. All decomposed, covered in worms and maggots, smelling "
131,like Eddie's mom's underwear.
132,Shut up Gross.
133,She's not dead. She mmmmissing.
134,"Sorry Bill, she's missing"
135,You know the barrens aren't that bad
136,Who doesn't love splashing around in shitty water
137,"Nice frisbee, flamer"
138,Give it back
139,Fuckin' losers
140,Loser.
141,"You ssssuck, Bowers"
142,"Shut up, Bill."
143,"Did you ssssay something, BbbbBilly"
144,You got a free ride this year cuz of your little brother
145,"Ride's over, Denbrough."
146,"This summer will be a hurttrain, for you and your faggot friends."
147,I wish he'd go missing.
148,He's probably the one doing it.
149,Will you let me go by
150,or is there a secret password or something
151, Sorry.  Sorry is not 
152,password.
153,Henry and his goons are over by the west entrance.
154,So you should be fine.
155,I wasn't
156,Everyone knows he's looking for you.
157,Whatchu listening to
158,New Kids on the Block.
159,"I don't even like them, I was just"
160,"Wait. You're the new kid, right Now I get it."
161,There's nothing to get.
162,I'm just messing with you
163,I'm Beverly Marsh.
164,Yes. I know that because we're in the same class.
165,Social Studies. And you were 
166,I'm Ben. But almost everyone calls me 
167,The new kid.
168,"Well, Ben, there are worse things to be called"
169,Let me sign this.
170,"Stay cool, Ben from Soc class"
171,Yeah
172,"You too, Beverly."
173,"Hang tough, new kid on the block."
174,"""Please don't go girl"""
175,That's the name of another New Kids on the Block song
176,He thrusts his fists  against the post
177,He thrusts his fists against the
178,shit. pppost
179,Need some help
180,I thought we agreed.
181, Before you say anything   Bill.
182,Let me show you something first.
183,The barrens
184,It is the only place where Georgie could have ended
185,"He's gone, Bill"
186,"But if the storm swept Georgie in, we should have gone "
187,"HE'S GONE, HE'S DEAD"
188,He's dead There is nothing we can do Nothing
189,Now take this down before your mother sees it.
190,Next time you want to take something from my office
191,ask
192,I guess you get your tunnels back.
193,Come in.
194,"Oh, Jesus."
195,Mike
196,"Hurry up, son"
197,Help I'm burning
198,Mike
199,Stay the fuck out of my town
200,Mike
201,"Are you okay, son"
202,"You're not studying, Stanley."
203,"How's it gonna look,"
204,the rabbi's son can't finish his own Torah reading.
205,"Take the book to my office,"
206,Obviously you're not using it.
207,"Take everything but the delicious deals, guys."
208,My mom loves them.
209,"Hey, first you said the barrens and now you're saying the sewer"
210,"I mean, if we get caught"
211,"We won't, Eds. The sewers are public works."
212,"We are the public, aren't we"
213,"Eddie, are these your birth control pills"
214,"Yes, I'm saving it for your sister. This is private stuff."
215,"Hello, welcome to The Children's Hour Derry."
216,"Eddie, dear, where you boys off to in such a rush"
217,"Our word of the day is ""clown"". They know what it means"
218,"Uhm, just mmmy backyard, Mrs. K"
219,I got a new
220,A new croquet set. Jeez spit it out blubber Bill
221,Okay
222,"Oh and sweetie, don't go rolling around in the grass"
223,especially if it's just been cut
224,you know how bad your allergies can get.
225,Yes mom. Come on.
226,Aren't you forgetting something
227,Water surrounds us. Even it is upon us.
228,They do not believe me
229,Try it at home.
230,When outside 
231,"Do you want one from me too, Mrs. K"
232,No.
233,Sorry mom.
234,"""Your hair is winter fire, January embers "
235,"""My heart burns there too."""
236,Slower
237,Hiyo Silver awaaay
238,Let's move on
239,Your old lady bike's too fast for us.
240,I found it.
241,Isn't it summer vacation
242,I'd think you'd be ready to take a break from the books.
243,I like it in here.
244,A boy should be spending his summer outside with his friends.
245,Don't you have any friends
246,Can I have the book now
247,Egg boy
248,What on Earth are you doing
249,"Where you off to, Tits"
250,Got ya
251,Wait.
252, Hold him.  Leave me alone
253, Hit him. you will not escape.
254,Help
255,Hold him
256,"Hold him, Hockstetter. Grab him, Belch."
257, Leave me alone.  Look all that blubber.
