,sentence
0,"Oh, come on"
1,Save room for my love
2,Save room for a moment to be with me
3,Save room for my love
4,Save a little
5,Save a little for me
6,"Oh, I'm so full."
7,"You were right, I shouldn't have eaten all that bread."
8,Want to split a dessert
9,You okay You seem a little off.
10,"Yeah, I'm just trying to think about what I want."
11,"Yeah, me too."
12,"Why don't we just say it at the same time One, two, three"
13, I want a divorce.  Cr�me br�l�e.
14, You can't get away.  Aah
15,"It's okay, that's my fault."
16,"Come on, let's get you to bed before your parents get home."
17,"No puppy eyes, you little maniac."
18,Go brush your teeth.
19,Aren't you gonna say anything
20,Almost 25 years of marriage and you have nothing to say
21,Robbie.
22,"Hey, Robbie, have you seen Molly's homework"
23,"Get out.  Oh, my God."
24,Close the door. Um
25,"Okay, Robbie, I'm really sorry, and I didn't see anything."
26,"Oh, my God."
27,"You're not talking, and you know that only makes me talk more."
28,"But maybe that's good, you know Because maybe I'll just say it."
29,Maybe Maybe I'll just tell you I slept with someone.
30,David Lindhagen. From work.
31, You met him at the Christmas party.  Please stop.
32,The last person in the world I'd wanna hurt is you.
33,"If you keep talking, I'm gonna get out."
34,"I think the fact that I did it, it just shows how broken we are."
35, Okay.  How much we really Cal.
36,"Oh, my God Cal"
37,Are you okay
38,I'll leave tonight. I'll sign whatever you want. Just please stop talking about it.
39,Okay.
40,I'm sorry you had to see that.
41,"No, you know, I should have knocked."
42,"Just for the record, I think about you while I do it."
43, Robbie.  I have this picture of you
44,and I look at it the whole time.  Stop it.
45,"I love you, Jessica."
46,I am actually begging you to stop it.
47,"And I know you're 17, and I know I just turned 13"
48,which is the same age as your little brother.
49,But soon our age difference won't even matter.
50,"Which is good, because I'm pretty sure you're my soul mate."
51,"Okay, um"
52," Listen, Robbie We're home."
53, Shit.  Hey.
54,"Hey, Mr. And Mrs. Weaver, how was"
55,"Oh, my God. Uh, what happened"
56,"Mrs. Weaver said she wanted a divorce, and I jumped out of the car."
57, Cal. Honey Well
58, Kids good Everybody good Dad
59,"Oh.  Oh. Hey, I didn't see you standing there."
60," You're getting a divorce Well, yes."
61,"Uh, so, Jess, did Molly get through dinner okay"
62,"Yeah, yeah, she's"
63, You jumped out of a moving car  I jumped out of a moving car.
64,"Did she fight you on broccoli  No, she didn't."
65,She always fights me.
66, Sorry you had to find out this way.  Sorry you jumped out of a car.
67, I'm sorry if she fought you.  It's okay.
68,I don't have any money.
69,"Uh, sweetheart Let's go to bed, okay"
70,"Listen, why don't you grab your coat I'll drive you home. All right."
71,I don't care. I love him. I really do.
72,"And, given the opportunity"
73,"Yes, I would have his babies."
74,Seriously Conan O'Brien You would do Conan O'Brien
75,"Oh, my God, yes."
76,"Ew. Friend to friend, ew."
77,I don't know. Your life is so PG13.
78," My life is not PG13.  Oh, it so is."
79," No, it's not. Yes, it is."
80,"You've never left L.A. You pass the bar, you're gonna be what, a patent lawyer"
81,"Probably married to that human Valium, Richard. I just"
82,"Listen, I worry about you, is all."
83,So much potential
84,"and you've resorted to fantasizing about Conan ""Ginger Junk"" O'Brien."
85," He's funny.  He looks like a carrot, honey."
86,Who looks like a carrot
87,Hi. Who looks like a carrot
88,Conan O'Brien.
89,My friend Hannah here thinks he's sexy.
90,"That's weird, I think that your friend Hannah is sexy."
91,"Oh, my God. You did not just say that."
92,How old are you
93," What are you, a lawyer  Yeah. A little bit."
94,Come on.  I know.
95, You are Is she  Gonna be.
96,Don't you think you're a little old to use cheesy pickup lines
97," Objection. Leading the witness.  Ha, ha."
98,You're wearing that like you're doing it a favor.
99," Oh, God.  That's a line."
100,Me sitting there for the past two hours not being able to take my eyes off you is fact.
101,"I mean, there's lots of beautiful women in this bar. Your friend included. Hi."
102,I love you.
103,"But I can't take my eyes off of you. That's a fact, it's not a line."
104,I find you very attractive.
105,Do you find me attractive
106, She does.  I don't.
107," Tsk. You do. She does.  Yes, she does."
108, I don't.  You do.
109, You do.  I don't.
110," Hannah, can I buy you a drink  No."
111," You say no a lot, don't you  No."
112,"Oh, boy. Permission to approach the bench"
113,Seriously
114,"Just, come on, let me deliver my closing argument."
115,Sure. Proceed.
116," Hannah, we live in a physical world, right Uhhuh."
117," And you're going to age, right  Mmhm."
118,I guarantee you this:
