,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,0,1,2,3,4,sentence
0,0,0,0,0,1,um... you have no actual medical training,1,DR. JAFFE,1,um... you have no actual medical training
1,1,1,1,1,2,no.,1,ERIN,1,no.
2,2,2,2,2,3,i have kids.,1,ERIN,1,i have kids.
3,3,3,3,3,4,learned a lot right there.,1,ERIN,1,learned a lot right there.
4,4,4,4,4,5,"i've seen nurses give my son throat cultures, and what is it",1,ERIN,1,"i've seen nurses give my son throat cultures, and what is it"
5,5,5,5,5,6,you stick a giant qtip down their throat and wait.,1,ERIN,1,you stick a giant qtip down their throat and wait.
6,6,6,6,6,7,you take that dipstick to see if the white count's high.,1,ERIN,1,you take that dipstick to see if the white count's high.
7,7,7,7,7,8," yes, i understand.",1,DR. JAFFE,1," yes, i understand."
8,8,8,8,8,9, yeah.,1,DR. JAFFE,1, yeah.
9,9,9,9,9,10,i'm great with people.,2,ERIN,1,i'm great with people.
10,10,10,10,10,11,you'd have to observe me to know for sure.,2,ERIN,1,you'd have to observe me to know for sure.
11,11,11,11,11,12,trust me on that.,2,ERIN,1,trust me on that.
12,12,12,12,12,13,i'm a fast learner.,2,ERIN,1,i'm a fast learner.
13,13,13,13,13,14,show me in a lab once...,2,ERIN,1,show me in a lab once...
14,14,14,14,14,15,...and i've got it down.,2,ERIN,1,...and i've got it down.
15,15,15,15,15,16,i always wanted to go to medical school.,2,ERIN (CONT'D),1,i always wanted to go to medical school.
16,16,16,16,16,17,that was my first interest.,2,ERIN (CONT'D),1,that was my first interest.
17,17,17,17,17,18,then i got married...,2,ERIN,1,then i got married...
18,18,18,18,18,19,...and had a kid too young and blew that.,2,ERIN,1,...and had a kid too young and blew that.
19,19,19,19,19,20,"out of high school, i got a job...",3,ERIN,1,"out of high school, i got a job..."
20,20,20,20,20,21,...with fleuer engineers in irvine.,3,ERIN,1,...with fleuer engineers in irvine.
21,21,21,21,21,22,i fell madly in love with geology.,3,ERIN,1,i fell madly in love with geology.
22,22,22,22,22,23, geology,4,DR. JAFFE,1, geology
