,0,1,2,3,4,sentence
0,2,speaking in japanese,17,SECURITY GUARD,1,speaking in japanese
1,3,attendant in japanese,19,SECURITY GUARD,1,attendant in japanese
2,4,are you here to kill me,25,ELDERLY JAPANESE MAN,2,are you here to kill me
3,5,i know what this is.,27,ELDERLY JAPANESE MAN,2,i know what this is.
4,6,i've seen one before.,28,ELDERLY JAPANESE MAN,2,i've seen one before.
5,7,"many, many years ago.",28,ELDERLY JAPANESE MAN,2,"many, many years ago."
6,8,it belonged to a man i met in a halfremembered dream.,29,ELDERLY JAPANESE MAN,2,it belonged to a man i met in a halfremembered dream.
7,9,a man possessed of some radical notions.,30,ELDERLY JAPANESE MAN,2,a man possessed of some radical notions.
8,10,cobb what is the most resilient parasite,31,COBB (V.O.),2,cobb what is the most resilient parasite
9,11,a bacteria,32,COBB,3,a bacteria
10,12,a virus,32,COBB,3,a virus
11,13,an intestinal worm,33,COBB,3,an intestinal worm
12,15,what mr. cobb is trying to say...,34,ARTHUR,3,what mr. cobb is trying to say...
13,16,an idea.,35,COBB,3,an idea.
14,17,resilient.,37,COBB,3,resilient.
15,18,highly contagious.,37,COBB,3,highly contagious.
16,19,"once an idea has taken hold of the brain, it's almost impossible to eradicate.",37,COBB,3,"once an idea has taken hold of the brain, it's almost impossible to eradicate."
17,20,"an idea that is fully formed, fully understood, that sticks.",39,COBB,3,"an idea that is fully formed, fully understood, that sticks."
18,21,right in there somewhere.,39,COBB,3,right in there somewhere.
19,22,for someone like you to steal,40,SAITO,3,for someone like you to steal
20,23,yes.,40,ARTHUR,3,yes.
21,24,"in the dream state, your conscious defenses are lowered...",40,ARTHUR,3,"in the dream state, your conscious defenses are lowered..."
22,25,...and that makes your thoughts vulnerable to theft.,41,ARTHUR,3,...and that makes your thoughts vulnerable to theft.
23,26,it's called extraction.,41,ARTHUR,3,it's called extraction.
24,27,"mr. saito, we can train your subconscious to defend itself...",42,COBB,3,"mr. saito, we can train your subconscious to defend itself..."
25,28,...from even the most skilled extractor.,42,COBB,3,...from even the most skilled extractor.
26,29,how can you do that,42,SAITO,3,how can you do that
27,30,because i am the most skilled extractor.,43,COBB,3,because i am the most skilled extractor.
28,31,i know how to search your mind and find your secrets.,43,COBB,3,i know how to search your mind and find your secrets.
29,32,i know the tricks.,43,COBB,3,i know the tricks.
30,33,"and i can teach them to you, so that even when you're asleep...",43,COBB,3,"and i can teach them to you, so that even when you're asleep..."
31,34,...your defense is never down.,43,COBB,3,...your defense is never down.
32,35,"look, if you want my help, you're gonna have to be completely open with me.",44,COBB,3,"look, if you want my help, you're gonna have to be completely open with me."
33,36,i need to know my way around your thoughts better than your wife...,45,COBB,3,i need to know my way around your thoughts better than your wife...
34,37,"...better than your therapist, better than anyone.",46,COBB,3,"...better than your therapist, better than anyone."
35,38,"if this is a dream, and you have a safe full of secrets...",46,COBB,3,"if this is a dream, and you have a safe full of secrets..."
36,39,...i need to know what's in that safe.,47,COBB,3,...i need to know what's in that safe.
37,40,"in order for this all to work, you need to completely let me in.",48,COBB,3,"in order for this all to work, you need to completely let me in."
38,41,"enjoy your evening, gentlemen, as i consider your proposal.",50,SAITO,3,"enjoy your evening, gentlemen, as i consider your proposal."
39,42,he knows.,52,ARTHUR,3,he knows.
40,44,what's going on up there,54,ARTHUR,3,what's going on up there
41,49,saito knows.,69,ARTHUR,6,saito knows.
42,50,he's playing with us.,69,ARTHUR,6,he's playing with us.
43,51,doesn't matter.,70,COBB,6,doesn't matter.
44,52,i can get it here.,70,COBB,6,i can get it here.
45,53,trust me.,70,COBB,6,trust me.
46,54,the information is in the safe.,70,COBB,6,the information is in the safe.
47,55,he looked right at it when i mentioned secrets.,70,COBB,6,he looked right at it when i mentioned secrets.
48,56,what's she doing here,71,ARTHUR,6,what's she doing here
49,57,just head back to the room.,73,COBB,6,just head back to the room.
50,58,all right,73,ARTHUR,6,all right
51,59,i'll take care of this.,73,COBB,6,i'll take care of this.
52,60,"okay, make sure you do.",73,ARTHUR,6,"okay, make sure you do."
53,61,we're here to work.,73,ARTHUR,6,we're here to work.
54,62,"if i jumped, would i survive",74,MAL,6,"if i jumped, would i survive"
55,63,"with a clean dive, perhaps.",74,COBB,6,"with a clean dive, perhaps."
56,64,"mal, what are you doing here",75,COBB,6,"mal, what are you doing here"
57,65,i thought you might be missing me.,75,MAL,6,i thought you might be missing me.
58,66,you know that i am.,75,COBB,6,you know that i am.
59,67,but i can't trust you anymore.,76,COBB,6,but i can't trust you anymore.
60,68,so what,77,MAL,6,so what
61,69,looks like arthur's taste.,78,MAL,7,looks like arthur's taste.
62,70,"actually, the subject is partial to postwar british painters.",80,COBB,7,"actually, the subject is partial to postwar british painters."
63,71,"please, have a seat.",82,COBB,7,"please, have a seat."
64,72,tell me...,86,MAL,7,tell me...
65,73,...do the children miss me,87,MAL,7,...do the children miss me
66,74,you can't imagine.,89,COBB,7,you can't imagine.
67,75,what are you doing,92,MAL,7,what are you doing
68,76,just getting some fresh air.,93,COBB,7,just getting some fresh air.
69,77,"stay where you are, mal.",95,COBB,7,"stay where you are, mal."
70,79,goddamn it.,104,COBB,7,goddamn it.
71,84,turn around.,120,SAITO (O.S.),12,turn around.
72,85,"the gun, dom.",121,MAL,12,"the gun, dom."
73,86,please.,125,MAL,12,please.
74,87,"now the envelope, mr. cobb.",130,SAITO,12,"now the envelope, mr. cobb."
75,88,did she tell you,131,COBB,12,did she tell you
76,89,or have you known all along,131,COBB,12,or have you known all along
