0,1,2,3,4
2,than there are people of any kind living in the united states,0,MARK (V.O.),0
3, that can't possibly be true.,0,ERICA (V.O.),0
4, it is.,0,MARK (V.O.),0
5,what would account for that,0,ERICA (V.O.),0
6,"well, first, an awful lot of people live in china, but here's my question.",0,MARK (V.O.),0
7,how do you distinguish yourself in a population of people,0,MARK,1
8,who all got 1600 on their sats,0,MARK,1
9, i didn't know they take sats in china.,0,ERICA,1
10, they don't.,0,MARK,1
11,"i wasn't talking about china anymore, i was talking about me.",1,MARK,1
12,you got a 1600,2,ERICA,1
13,yes.,3,MARK,1
14,"i could sing in an a capella group, but i can't sing.",3,MARK,1
15,does that mean you actually got nothing wrong,4,ERICA,1
16,i could row crew or invent a 25 pc.,4,MARK,1
17,or you could get into a final club.,5,ERICA,1
18,or i get into a final club.,6,MARK,1
19,"you know, from a woman's perspective,",7,ERICA,1
20,sometimes not singing in an a capella group is a good thing.,7,ERICA,1
21,this is serious.,8,MARK,1
22,"on the other hand, i do like guys who row crew.",9,ERICA,1
23,"well, i can't do that.",10,MARK,1
24,i was kidding.,11,ERICA,1
25,"and, yes, i got nothing wrong on the test.",12,MARK,1
26, have you ever tried,12,ERICA,1
27, i'm trying right now.,12,MARK,1
28, to row crew,13,ERICA,1
29, to get into a final club.,13,MARK,1
30,to row crew,13,MARK,1
31,no.,13,MARK,1
32,"are you, like, whatever, delusional",13,MARK,1
33,maybe it's just sometimes you say two things at once.,13,ERICA,1
34,i'm not sure which one i'm supposed to be aiming at.,13,ERICA,1
35,"but you've seen guys who row crew, right",14,MARK,1
36,no.,15,ERICA,1
37,"okay, well, they're bigger than me.",16,MARK,1
38,they're worldclass athletes.,16,MARK,1
39,"and a second ago, you said you like guys who row crew",16,MARK,1
40,so i assumed you had met one.,16,MARK,1
41,i guess i just meant i like the idea of it.,16,ERICA,1
42,"you know, the way a girl likes cowboys.",16,ERICA,1
43,okay.,17,MARK,1
44,should we get something to eat,18,ERICA,1
45,would you like to talk about something else,18,MARK,1
46,no.,18,ERICA,1
47,"it's just since the beginning of the conversation about finals club,",18,ERICA,1
48,i think i may have missed a birthday.,18,ERICA,1
49,there are really more people in china with genius iqs than the entire population...,20,ERICA,1
50,the phoenix is the most diverse.,21,MARK,1
51,the fly club... roosevelt punched the porc.,21,MARK,1
52,which one,22,ERICA,1
53,"the porcellian, the porc.",23,MARK,1
54,it's the best of the best.,23,MARK,1
55, which roosevelt,24,ERICA,1
56, theodore.,24,MARK,1
57,is it true that they send a bus around to pick up girls,26,ERICA,1
58,who want to party with the next fed chairman,26,ERICA,1
59,so you can see why it's so important to get in.,27,MARK,1
60,"okay, well, which is the easiest to get into",27,ERICA,1
61, why would you ask me that,28,MARK,1
62, i was just asking.,28,ERICA,1
63,none of them.,29,MARK,1
64,that's the point.,29,MARK,1
65,"my friend eduardo made 300,000 betting oil futures one summer",29,MARK,1
66,and eduardo won't come close to getting in.,29,MARK,1
